eventtype,eventid,episodeid,eventname,glide,name,description,htmldescription,icon,iconoverall,url,alertlevel,alertscore,episodealertlevel,episodealertscore,istemporary,iscurrent,country,fromdate,todate,datemodified,iso3,source,sourceid,polygonlabel,Class,affectedcountries,severitydata,geometry,
FL,1675,1,,,Flood in TanzaniaåÊ,Flood in TanzaniaåÊ,RED Flood in Tanzania from: 01 Dec 2000 00 to: 31 Dec 2000 23.,https://www.gdacs.org/images/gdacs_icons/maps/RED/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/RED/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=1675&episodeid=1"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=1675&episodeid=1&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=1675"" }",RED,3,RED,3,FALSE,FALSE,TanzaniaåÊ,01/12/2000 00:00,31/12/2000 23:59,31/12/2000 23:59,,DFO,,Centroid,Point_Centroid,,"[ { ""iso3"": ""TZA"", ""countryname"": ""Tanzania"" } ]","{ ""severity"": 5.7699999999999996, ""severitytext"": ""Magnitude 5.77"", ""severityunit"": """" }",POINT (33.097 -3.147)
FL,1100574,1,South Sudan,,Flood in South Sudan,Flood in South Sudan,Orange Flood in South Sudan from: 28 Jul 2020 00 to: 12 Aug 2020 00.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=1100574&episodeid=1"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=1100574&episodeid=1&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=1100574"" }",Orange,2,Orange,1.5,FALSE,FALSE,South Sudan,28/07/2020,12/08/2020 00:00,14/08/2020 09:03,SSD,GLOFAS,,Centroid,Point_Centroid,"[ { ""iso3"": ""SSD"", ""countryname"": ""South Sudan"" } ]","{ ""severity"": 0, ""severitytext"": ""Magnitude 0 "", ""severityunit"": """" }",POINT (31.5640276 6.2124362),
FL,1100229,1,South Sudan,,Flood in South Sudan,Flood in South Sudan,Orange Flood in South Sudan from: 01 Oct 2019 00 to: 29 Oct 2019 07.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=1100229&episodeid=1"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=1100229&episodeid=1&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=1100229"" }",Orange,2,Orange,1.5,FALSE,FALSE,South Sudan,01/10/2019,29/10/2019 07:00,25/10/2019 08:34,SSD,GLOFAS,,Centroid,Point_Centroid,"[ { ""iso3"": ""SSD"", ""countryname"": ""South Sudan"" } ]","{ ""severity"": 0, ""severitytext"": ""Magnitude 0 "", ""severityunit"": """" }",POINT (33.8079669 9.9656487),
DR,1012703,4, South Sudan - Uganda - Kenya-2018,,"Drought in Congo, DRC, Central African Republic, Kenya, South Sudan, Uganda","Drought in Congo, DRC, Central African Republic, Kenya, South Sudan, Uganda","Orange Drought in Congo, DRC, Central African Republic, Kenya, South Sudan, Uganda from: 21 Oct 2018  to: 30 Dec 2018 .",https://www.gdacs.org/images/gdacs_icons/maps/Orange/DR.png,https://www.gdacs.org/images/gdacs_icons/maps/Orange/DR.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=DR&eventid=1012703&episodeid=4"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=1012703&episodeid=4&eventtype=DR"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=DR&eventid=1012703"" }",Orange,2,Orange,1.5,FALSE,FALSE,"Congo, DRC, Central African Republic, Kenya, South Sudan, Uganda",21/10/2018,30/12/2018 14:05,26/02/2019 09:21,COD,GDO,,Centroid,Point_Centroid,"[ { ""iso3"": ""CAF"", ""countryname"": ""Central African Republic"" }, { ""iso3"": ""KEN"", ""countryname"": ""Kenya"" }, { ""iso3"": ""SSD"", ""countryname"": ""South Sudan"" }, { ""iso3"": ""UGA"", ""countryname"": ""Uganda"" } ]","{ ""severity"": 331753, ""severitytext"": ""Medium impact for agricultural drought in 331753 km2"", ""severityunit"": ""km2"" }",POINT (30.911 3.637),
FL,4164,7,,,Flood in South Sudan,Flood in South Sudan,ORANGE Flood in South Sudan from: 20 Jul 2014 00 to: 08 Sep 2014 23.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/ORANGE/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=4164&episodeid=7"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=4164&episodeid=7&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=4164"" }",ORANGE,2,Orange,2,FALSE,FALSE,South Sudan,20/07/2014,08/09/2014 23:59,08/09/2014 23:59,,DFO,,Centroid,Point_Centroid,"[ { ""iso3"": ""SSD"", ""countryname"": ""South Sudan"" } ]","{ ""severity"": 7.6900000000000004, ""severitytext"": ""Magnitude 7.69"", ""severityunit"": """" }",POINT (31.001 10.213),
FL,4077,4,,,Flood in Sudan,Flood in Sudan,ORANGE Flood in Sudan from: 01 Aug 2013 00 to: 21 Aug 2013 23.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/ORANGE/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=4077&episodeid=4"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=4077&episodeid=4&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=4077"" }",ORANGE,2,Orange,2,FALSE,FALSE,Sudan,01/08/2013,21/08/2013 23:59,21/08/2013 23:59,,DFO,,Centroid,Point_Centroid,"[ { ""iso3"": ""SDN"", ""countryname"": ""Sudan"" } ]","{ ""severity"": 7.5, ""severitytext"": ""Magnitude 7.50"", ""severityunit"": """" }",POINT (28.989 13.688),
FL,3968,253,,FL-2012-000150-SDN,Flood in South Sudan,Flood in South Sudan,ORANGE Flood in South Sudan from: 01 Aug 2012 00 to: 29 Aug 2012 23.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/ORANGE/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=3968&episodeid=253"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=3968&episodeid=253&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=3968"" }",ORANGE,2,Orange,2,FALSE,FALSE,South Sudan,01/08/2012,29/08/2012 23:59,29/08/2012 23:59,   ,DFO,,Centroid,Point_Centroid,"[ { ""iso3"": ""SSD"", ""countryname"": ""South Sudan"" } ]","{ ""severity"": 7.2999999999999998, ""severitytext"": ""Magnitude 7.30"", ""severityunit"": """" }",POINT (30.218 9.691),
FL,3533,1,,FL-2009-000166-SDN,Flood in Sudan,Flood in Sudan,ORANGE Flood in Sudan from: 16 Aug 2009 00 to: 16 Aug 2009 00.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/ORANGE/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=3533&episodeid=1"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=3533&episodeid=1&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=3533"" }",ORANGE,2,Orange,2,FALSE,FALSE,Sudan,16/08/2009,16/08/2009 00:00,16/08/2009 00:00,   ,DFO,,Centroid,Point_Centroid,"[ { ""iso3"": ""SDN"", ""countryname"": ""Sudan"" } ]","{ ""severity"": 5.6200000000000001, ""severitytext"": ""Magnitude 5.62"", ""severityunit"": """" }",POINT (32.604 15.984),
FL,3123,1,,FL-2007-000093-SDN,Flood in Sudan,Flood in Sudan,ORANGE Flood in Sudan from: 03 Jul 2007 00 to: 03 Jul 2007 00.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/ORANGE/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=3123&episodeid=1"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=3123&episodeid=1&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=3123"" }",ORANGE,2,Orange,2,FALSE,FALSE,Sudan,03/07/2007,03/07/2007 00:00,03/07/2007 00:00,   ,DFO,,Centroid,Point_Centroid,"[ { ""iso3"": ""SDN"", ""countryname"": ""Sudan"" } ]","{ ""severity"": 8.1899999999999995, ""severitytext"": ""Magnitude 8.19"", ""severityunit"": """" }",POINT (33.771 12.907),
FL,2950,1,,FL-2006-000123-SDN,Flood in Sudan,Flood in Sudan,ORANGE Flood in Sudan from: 13 Aug 2006 00 to: 13 Aug 2006 00.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/ORANGE/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=2950&episodeid=1"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=2950&episodeid=1&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=2950"" }",ORANGE,2,Orange,2,FALSE,FALSE,Sudan,13/08/2006,13/08/2006 00:00,13/08/2006 00:00,   ,DFO,,Centroid,Point_Centroid,"[ { ""iso3"": ""SDN"", ""countryname"": ""Sudan"" } ]","{ ""severity"": 7.8300000000000001, ""severitytext"": ""Magnitude 7.83"", ""severityunit"": """" }",POINT (34.764 13.213),
FL,2298,1,,,Flood in Sudan and Eritrea,Flood in Sudan and Eritrea,ORANGE Flood in Sudan and Eritrea from: 28 Jul 2003 00 to: 21 Aug 2003 23.,https://www.gdacs.org/images/gdacs_icons/maps/ORANGE/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/ORANGE/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=2298&episodeid=1"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=2298&episodeid=1&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=2298"" }",ORANGE,2,ORANGE,2,FALSE,FALSE,Sudan and Eritrea,28/07/2003,21/08/2003 23:59,21/08/2003 23:59,,DFO,,Centroid,Point_Centroid,[ ],"{ ""severity"": 6.6799999999999997, ""severitytext"": ""Magnitude 6.68"", ""severityunit"": """" }",POINT (36.459 15.383),
FL,1100574,1,South Sudan,,Flood in South Sudan,Flood in South Sudan,Orange Flood in South Sudan from: 28 Jul 2020 00 to: 12 Aug 2020 00.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=1100574&episodeid=1"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=1100574&episodeid=1&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=1100574"" }",Orange,2,Orange,1.5,FALSE,FALSE,South Sudan,28/07/2020,12/08/2020 00:00,14/08/2020 09:03,SSD,GLOFAS,,Centroid,Point_Centroid,"[ { ""iso3"": ""SSD"", ""countryname"": ""South Sudan"" } ]","{ ""severity"": 0, ""severitytext"": ""Magnitude 0 "", ""severityunit"": """" }",POINT (31.5640276 6.2124362),
FL,1100229,1,South Sudan,,Flood in South Sudan,Flood in South Sudan,Orange Flood in South Sudan from: 01 Oct 2019 00 to: 29 Oct 2019 07.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=1100229&episodeid=1"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=1100229&episodeid=1&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=1100229"" }",Orange,2,Orange,1.5,FALSE,FALSE,South Sudan,01/10/2019,29/10/2019 07:00,25/10/2019 08:34,SSD,GLOFAS,,Centroid,Point_Centroid,"[ { ""iso3"": ""SSD"", ""countryname"": ""South Sudan"" } ]","{ ""severity"": 0, ""severitytext"": ""Magnitude 0 "", ""severityunit"": """" }",POINT (33.8079669 9.9656487),
DR,1012703,4, South Sudan - Uganda - Kenya-2018,,"Drought in Congo, DRC, Central African Republic, Kenya, South Sudan, Uganda","Drought in Congo, DRC, Central African Republic, Kenya, South Sudan, Uganda","Orange Drought in Congo, DRC, Central African Republic, Kenya, South Sudan, Uganda from: 21 Oct 2018  to: 30 Dec 2018 .",https://www.gdacs.org/images/gdacs_icons/maps/Orange/DR.png,https://www.gdacs.org/images/gdacs_icons/maps/Orange/DR.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=DR&eventid=1012703&episodeid=4"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=1012703&episodeid=4&eventtype=DR"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=DR&eventid=1012703"" }",Orange,2,Orange,1.5,FALSE,FALSE,"Congo, DRC, Central African Republic, Kenya, South Sudan, Uganda",21/10/2018,30/12/2018 14:05,26/02/2019 09:21,COD,GDO,,Centroid,Point_Centroid,"[ { ""iso3"": ""CAF"", ""countryname"": ""Central African Republic"" }, { ""iso3"": ""KEN"", ""countryname"": ""Kenya"" }, { ""iso3"": ""SSD"", ""countryname"": ""South Sudan"" }, { ""iso3"": ""UGA"", ""countryname"": ""Uganda"" } ]","{ ""severity"": 331753, ""severitytext"": ""Medium impact for agricultural drought in 331753 km2"", ""severityunit"": ""km2"" }",POINT (30.911 3.637),
FL,4164,7,,,Flood in South Sudan,Flood in South Sudan,ORANGE Flood in South Sudan from: 20 Jul 2014 00 to: 08 Sep 2014 23.,https://www.gdacs.org/images/gdacs_icons/maps/Orange/FL.png,https://www.gdacs.org/images/gdacs_icons/maps/ORANGE/FL.png,"{ ""geometry"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/polygons\/getgeometry?eventtype=FL&eventid=4164&episodeid=7"", ""report"": ""https:\/\/www.gdacs.org\/report.aspx?eventid=4164&episodeid=7&eventtype=FL"", ""details"": ""https:\/\/www.gdacs.org\/gdacsapi\/api\/events\/geteventdata?eventtype=FL&eventid=4164"" }",ORANGE,2,Orange,2,FALSE,FALSE,South Sudan,20/07/2014,08/09/2014 23:59,08/09/2014 23:59,,DFO,,Centroid,Point_Centroid,"[ { ""iso3"": ""SSD"", ""countryname"": ""South Sudan"" } ]","{ ""severity"": 7.6900000000000004, ""severitytext"": ""Magnitude 7.69"", ""severityunit"": """" }",POINT (31.001 10.213),
